"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jul 14 22:34:27 GMT 2024","Sun Jul 14 22:34:27 GMT 2024","2","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","keepingEnglishLanguageInterfaceForPartiallySupportedLanguageTest","User gets English interface language for partially supported language",""
"unknown","Sun Jul 14 22:34:22 GMT 2024","Sun Jul 14 22:34:22 GMT 2024","3","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","changingTolOtherLanguageInterfaceTest","User is able to change interface language",""
"skipped","Sun Jul 14 22:34:27 GMT 2024","Sun Jul 14 22:34:27 GMT 2024","0","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","keepingEnglishLanguageInterfaceTest","User is able to keep interface language as English",""
"broken","Sun Jul 14 22:34:27 GMT 2024","Sun Jul 14 22:34:27 GMT 2024","12","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","setUp","setUp",""
