"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jul 14 23:05:00 GMT 2024","Sun Jul 14 23:05:00 GMT 2024","1","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","keepingEnglishLanguageInterfaceForPartiallySupportedLanguageTest","User gets English interface language for partially supported language",""
"skipped","Sun Jul 14 23:05:00 GMT 2024","Sun Jul 14 23:05:00 GMT 2024","0","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","keepingEnglishLanguageInterfaceTest","User is able to keep interface language as English",""
"broken","Sun Jul 14 23:05:00 GMT 2024","Sun Jul 14 23:05:00 GMT 2024","1","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","setUp","setUp",""
"unknown","Sun Jul 14 23:04:56 GMT 2024","Sun Jul 14 23:04:56 GMT 2024","1","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","changingTolOtherLanguageInterfaceTest","User is able to change interface language",""
