"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jul 14 21:59:50 GMT 2024","Sun Jul 14 21:59:50 GMT 2024","0","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","changingTolOtherLanguageInterfaceTest","User is able to change interface language",""
"broken","Sun Jul 14 21:59:50 GMT 2024","Sun Jul 14 21:59:50 GMT 2024","2","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","setUp","setUp",""
"skipped","Sun Jul 14 21:59:54 GMT 2024","Sun Jul 14 21:59:54 GMT 2024","1","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.IntentionallyFailingTest","ai.praktika.tests.getStartedFlow.languageTests.IntentionallyFailingTest","intentionallyFailingFeatureTest","Intentionally failing feature test to see the screenshot on failure",""
"broken","Sun Jul 14 21:59:54 GMT 2024","Sun Jul 14 21:59:54 GMT 2024","7","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.IntentionallyFailingTest","ai.praktika.tests.getStartedFlow.languageTests.IntentionallyFailingTest","setUp","setUp",""
"skipped","Sun Jul 14 21:59:50 GMT 2024","Sun Jul 14 21:59:50 GMT 2024","0","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","keepingEnglishLanguageInterfaceForPartiallySupportedLanguageTest","User gets English interface language for partially supported language",""
"skipped","Sun Jul 14 21:59:50 GMT 2024","Sun Jul 14 21:59:50 GMT 2024","1","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","changingTolOtherLanguageInterfaceTest","User is able to change interface language",""
"skipped","Sun Jul 14 21:59:50 GMT 2024","Sun Jul 14 21:59:50 GMT 2024","0","PraktikaGetStartedFlow","LanguageTests","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","ai.praktika.tests.getStartedFlow.languageTests.NativeLanguageTest","keepingEnglishLanguageInterfaceTest","User is able to keep interface language as English",""
